Rank,Count (Max),Count (Avg)
0,165,165
1,6,6
2,6,6
3,12,21
4,12,30
5,15,33
6,24,30
7,27,60
8,24,51
9,33,33
10,48,51
11,48,96
12,48,81
13,57,66
14,69,87
15,69,111
16,72,105
17,78,132
18,102,159
19,108,168
20,108,183
21,111,183
22,147,198
23,159,258
24,159,276
25,183,297
26,225,354
27,231,363
28,234,390
29,267,432
30,312,495
31,330,522
32,351,561
33,387,627
34,438,711
35,462,717
36,477,813
37,543,945
38,621,978
39,672,1044
40,699,1143
41,783,1260
42,849,1311
43,912,1446
44,978,1452
45,1071,1542
46,1152,1653
47,1242,1686
48,1293,1782
49,1329,2001
50,1368,2004
51,1470,2175
52,1527,2334
53,1629,2442
54,1689,2655
55,1770,2877
56,1839,3003
57,1986,3255
58,2046,3552
59,2169,3717
60,2289,3804
61,2454,4125
62,2520,4410
63,2739,4641
64,2889,4983
65,3096,5259
66,3192,5367
67,3465,5376
68,3633,5724
69,3831,6087
70,3876,6078
71,4137,6387
72,4272,6546
73,4380,7050
74,4356,7371
75,4599,7656
76,4698,7767
77,4761,8145
78,4755,8292
79,5079,8508
80,5232,8985
81,5577,9078
82,5775,9543
83,6087,10056
84,6177,10692
85,6537,10743
86,6684,11091
87,6819,11706
88,6996,12330
89,7326,12546
90,7392,12960
91,7536,13776
92,7704,14325
93,8007,15114
94,8046,15717
95,8262,16707
96,8385,17553
97,8655,18774
98,8835,19596
99,9258,21153
100,9474,22119
101,9783,23064
102,10107,24834
103,10521,26649
104,10611,28011
105,10824,30549
106,11166,32235
107,11628,34521
108,11793,36927
109,12075,39453
110,12207,41823
111,12390,44550
112,12453,47382
113,12912,49377
114,13137,52227
115,13446,53838
116,13863,56934
117,14529,57888
118,14862,59178
119,15384,60726
120,15966,61494
121,16536,62832
122,17148,61173
123,17790,63852
124,18339,63816
125,18897,62985
126,19677,64395
127,20463,64890
128,20796,65055
129,21183,66396
130,21780,67494
131,22290,67449
132,22611,68760
133,23190,69072
134,23958,69015
135,24762,68970
136,25638,69915
137,26718,69498
138,27921,70248
139,29283,71787
140,30693,73017
141,32130,74754
142,33381,76650
143,34464,79080
144,35628,81186
145,36726,82782
146,37782,83382
147,38634,85482
148,39669,87015
149,40584,90309
150,41562,92985
151,42378,97281
152,43416,101055
153,44367,104430
154,45522,110220
155,46797,115026
156,48258,120900
157,49650,124308
158,51321,127734
159,52647,133542
160,53775,138237
161,54849,143268
162,56304,147948
163,57456,151038
164,58860,152823
165,59955,158220
166,60969,160158
167,61524,161559
168,62337,165339
169,63240,165018
170,64344,164916
171,65403,165558
172,66738,165408
173,68304,164259
174,69624,166689
175,70341,166308
176,71148,164688
177,72366,164883
178,73521,165018
179,73932,164286
180,74844,161781
181,76254,158820
182,77529,156564
183,78543,154263
184,80133,150405
185,81213,148350
186,81957,145590
187,82440,144522
188,83820,144336
189,85365,144012
190,86757,142554
191,87657,142695
192,88974,143862
193,90651,145272
194,92478,144954
195,94131,146442
196,96138,147429
197,97305,147960
198,98109,146856
199,98859,147129
200,99906,144819
201,100041,142329
202,100317,141759
203,101433,139278
204,103275,137373
205,105426,136683
206,107961,135456
207,110439,133452
208,112464,132825
209,114228,129288
210,115551,125973
211,116880,121272
212,118539,115686
213,120279,111810
214,121080,104925
215,121599,100095
216,121866,94875
217,122688,87666
218,124218,83454
219,126618,77757
220,128964,74166
221,131232,70020
222,133398,66225
223,134988,64794
224,136194,61242
225,137091,57696
226,137316,54357
227,137385,52047
228,137388,50175
229,137391,46608
230,137328,44613
231,138012,42873
232,139509,42048
233,141012,40599
234,141978,38049
235,142173,36276
236,141759,35538
237,141546,35937
238,141696,36132
239,141492,34005
240,141072,30393
241,140538,26631
242,139812,23529
243,138411,20586
244,137013,18306
245,135408,16302
246,134313,14835
247,133095,13899
248,131274,12960
249,128715,12291
250,126510,11451
251,124230,10341
252,121914,8937
253,119685,7986
254,117696,7209
255,115218,6159
256,112464,5010
257,109338,3864
258,105972,3057
259,102228,2283
260,98511,1890
261,94578,1407
262,90639,1197
263,86757,996
264,83250,825
265,79737,648
266,76170,633
267,72390,471
268,68682,441
269,64938,396
270,61185,285
271,57522,174
272,54225,120
273,50922,57
274,47658,45
275,44589,24
276,42057,9
277,39612,0
278,37560,0
279,35892,0
280,34467,0
281,33234,0
282,32349,0
283,31794,0
284,31476,0
285,31518,0
286,31578,0
287,31323,0
288,30978,0
289,30681,0
290,30231,0
291,29721,0
292,29385,0
293,28902,0
294,28200,0
295,27294,0
296,26232,0
297,24870,0
298,23316,0
299,21711,0
300,19881,0
301,17868,0
302,15927,0
303,14175,0
304,12474,0
305,10857,0
306,9324,0
307,7926,0
308,6612,0
309,5496,0
310,4611,0
311,3894,0
312,3321,0
313,2841,0
314,2571,0
315,2328,0
316,2100,0
317,1905,0
318,1710,0
319,1515,0
320,1323,0
321,1152,0
322,1026,0
323,924,0
324,891,0
325,834,0
326,744,0
327,660,0
328,591,0
329,522,0
330,420,0
331,324,0
332,264,0
333,231,0
334,183,0
335,120,0
336,57,0
337,30,0
338,27,0
339,30,0
340,30,0
341,21,0
342,12,0
343,6,0
344,6,0
345,6,0
346,6,0
347,6,0
348,6,0
